user_id,plan_start_date,plan_end_date,churned,MRR
92,2024-01-24,,N,59.0
93,2024-01-16,,N,79.0
94,2024-01-24,03/19/2025,Y,0.0
95,2024-01-01,2024-12-26,N,0.0
96,2024-01-12,,Y,49.0
97,2024-01-03,,Y,49.0
98,,09/27/2024,Y,59.0
99,2024-01-28,2024-12-23,Y,0.0
100,2024-01-10,2025-03-05,N,0.0
101,2024-01-18,11/08/2025,Y,0.0
102,2024-01-05,07/03/2024,,29.0
103,2024-01-29,,N,79.0
104,2024-01-06,,Y,0.0
105,2024-01-01,,N,0.0
106,2024-01-26,06/24/2024,Y,0.0
107,2024-01-21,,Y,0.0
108,2024-01-24,2024-08-21,N,0.0
109,2024-01-04,,Y,149.0
110,2024-01-09,,N,0.0
111,2024-01-11,,Y,49.0
112,2024-01-03,,N,0.0
113,2024-01-06,09/02/2024,Y,29.0
114,2024-01-31,,Y,0.0
115,2024-01-28,2025-10-19,N,149.0
116,2024-01-13,11/03/2025,Y,0.0
117,2024-01-13,,N,49.0
118,2024-01-06,,Y,99.0
119,2024-01-25,2024-05-24,Y,0.0
120,2024-01-27,2025-09-18,N,39.0
121,2024-01-27,2026-01-16,Y,0.0
122,2024-01-17,10/13/2024,N,59.0
123,2024-01-27,,Y,0.0
124,2024-01-13,08/05/2025,Y,0.0
125,2024-01-14,,Y,79.0
126,2024-01-11,,N,29.0
127,2024-01-07,08/29/2025,Y,0.0
128,2024-01-20,,N,149.0
129,2024-01-19,2024-08-16,N,0.0
130,,,Y,0.0
131,2024-01-19,,Y,79.0
132,2024-01-01,09/22/2025,N,99.0
133,2024-01-22,10/18/2024,N,0.0
134,2024-01-27,07/20/2025,Y,0.0
135,2024-01-27,07/25/2024,Y,49.0
136,2024-01-12,2025-02-05,N,39.0
137,2024-01-11,2024-10-07,Y,29.0
138,2024-01-11,2025-12-01,Y,0.0
139,2024-01-04,,Y,
140,2024-01-04,12/29/2024,N,99.0
141,2024-01-26,2024-11-21,N,0.0
142,2024-01-14,,Y,0.0
143,2024-01-03,2024-09-29,Y,99.0
144,2024-01-25,2025-06-18,Y,59.0
145,2024-01-22,2025-11-12,Y,99.0
146,2024-01-31,08/23/2025,N,149.0
147,2024-01-07,01/01/2025,N,0.0
148,2024-01-28,,N,0.0
149,2024-01-22,2025-06-15,N,39.0
150,2024-01-25,,N,0.0
151,,2024-07-29,Y,0.0
152,2024-01-30,,N,49.0
153,2024-01-25,11/20/2024,N,59.0
154,2024-01-02,01/26/2025,N,59.0
155,2024-01-10,,N,79.0
156,2024-01-12,2024-11-07,N,59.0
157,2024-01-08,2025-06-01,Y,0.0
158,2024-01-09,,Y,79.0
159,2024-01-09,08/06/2024,Y,0.0
160,2024-01-27,06/20/2025,N,0.0
161,2024-01-31,,N,149.0
162,2024-01-21,,N,99.0
163,2024-01-13,05/07/2025,N,0.0
164,2024-01-31,,Y,0.0
165,2024-01-09,05/03/2025,Y,0.0
166,2024-01-11,,N,0.0
167,2024-01-02,,Y,59.0
168,2024-01-19,2025-02-12,Y,0.0
169,2024-01-19,11/09/2025,Y,49.0
170,,2025-05-25,Y,29.0
171,2024-01-31,,N,79.0
172,2024-01-31,,Y,99.0
173,2024-01-05,01/29/2025,N,99.0
174,2024-01-03,,N,49.0
175,2024-01-05,04/04/2024,N,0.0
176,2024-01-24,12/14/2025,N,49.0
177,2024-01-06,2024-09-02,N,0.0
178,2024-01-21,10/12/2025,Y,0.0
179,2024-01-15,07/13/2024,Y,29.0
180,2024-01-06,,N,29.0
181,2024-01-20,,N,
182,2024-01-05,,N,79.0
183,2024-01-19,2024-11-14,N,59.0
184,2024-01-28,2024-08-25,N,59.0
185,2024-01-12,2025-03-07,Y,59.0
186,2024-01-22,2024-07-20,N,39.0
187,2024-01-29,07/27/2024,Y,39.0
188,2024-01-14,2025-11-04,Y,79.0
189,2024-01-12,09/08/2024,Y,39.0
190,2024-01-20,2024-04-19,Y,49.0
191,2024-01-23,,Y,0.0
192,2024-01-27,,Y,0.0
193,2024-01-28,05/22/2025,N,0.0
194,2024-01-24,2025-11-14,N,0.0
195,2024-01-05,,Y,0.0
196,2024-01-05,,Y,49.0
197,2024-01-25,2025-01-19,N,0.0
198,2024-01-24,,N,79.0
199,2024-01-02,08/24/2025,Y,99.0
200,2024-01-09,01/03/2025,N,0.0
201,2024-01-29,,Y,29.0
202,2024-01-27,,N,39.0
203,2024-01-23,,N,0.0
204,2024-01-25,2025-06-18,N,59.0
205,2024-01-31,,Y,59.0
206,2024-01-03,10/24/2025,Y,0.0
207,2024-01-26,,Y,29.0
208,2024-01-03,06/26/2025,N,99.0
209,2024-01-31,06/24/2025,Y,39.0
210,2024-01-31,2025-11-21,Y,0.0
211,2024-01-03,07/31/2024,N,0.0
212,2024-01-15,,N,0.0
213,2024-01-02,,Y,29.0
214,2024-01-22,01/16/2025,N,49.0
215,2024-01-08,09/29/2025,N,0.0
216,2024-01-25,,Y,149.0
217,2024-01-04,10/25/2025,N,0.0
218,2024-01-31,,N,59.0
219,2024-01-18,05/17/2024,N,79.0
220,2024-01-31,2024-10-27,Y,0.0
221,2024-01-24,12/14/2025,N,0.0
222,2024-01-14,2025-08-06,Y,149.0
223,2024-01-07,2024-07-05,N,0.0
224,2024-01-04,02/27/2025,Y,0.0
225,2024-01-27,09/23/2024,N,29.0
226,2024-01-31,,Y,0.0
227,2024-01-12,,N,
228,2024-01-14,2025-07-07,Y,59.0
229,2024-01-04,,N,29.0
230,2024-01-12,04/06/2025,Y,0.0
231,2024-01-02,2024-07-30,Y,0.0
232,2024-01-17,2025-12-07,Y,0.0
233,2024-01-04,2025-01-28,N,29.0
234,2024-01-03,12/28/2024,N,39.0
235,,,Y,99.0
236,2024-01-28,,N,149.0
237,2024-01-11,01/05/2025,N,0.0
238,2024-01-08,,N,29.0
239,2024-01-02,,N,0.0
240,2024-01-02,2025-06-25,N,0.0
241,2024-01-17,2025-06-10,N,0.0
242,2024-01-20,2025-12-10,N,29.0
243,2024-01-20,2024-06-18,Y,0.0
244,2024-01-31,2025-08-23,N,149.0
245,2024-01-14,2026-01-03,N,0.0
246,2024-01-04,2024-12-29,Y,99.0
247,2024-01-15,,Y,149.0
248,2024-01-16,2024-12-11,Y,99.0
249,2024-01-12,11/07/2024,N,29.0
250,2024-01-04,,N,0.0
251,2024-01-23,2025-07-16,N,0.0
252,2024-01-03,2025-04-27,Y,0.0
253,2024-01-12,01/06/2025,Y,149.0
254,2024-01-25,10/16/2025,Y,29.0
255,2024-01-10,,N,79.0
256,2024-01-22,06/20/2024,N,0.0
257,,,N,29.0
258,2024-01-23,,N,59.0
259,2024-01-07,2024-12-02,N,49.0
260,2024-01-01,,N,0.0
261,2024-01-02,,Y,0.0
262,2024-01-15,11/10/2024,Y,0.0
263,2024-01-08,,Y,59.0
264,2024-01-23,2024-04-22,Y,0.0
265,2024-01-05,,Y,49.0
266,2024-01-02,12/22/2025,Y,59.0
267,2024-01-05,08/02/2024,N,29.0
268,2024-01-09,02/02/2025,Y,0.0
269,2024-01-05,2024-07-03,N,0.0
270,2024-01-22,2024-06-20,Y,0.0
271,2024-01-01,,Y,29.0
272,2024-01-21,12/11/2025,Y,149.0
273,2024-01-20,07/13/2025,N,39.0
274,2024-01-02,,N,0.0
275,2024-01-23,12/18/2024,Y,0.0
276,2024-01-07,2025-06-30,N,0.0
277,2024-01-03,,Y,39.0
278,2024-01-16,2024-07-14,Y,29.0
279,2024-01-16,12/06/2025,N,0.0
280,2024-01-28,2024-05-27,N,59.0
281,2024-01-24,,N,49.0
282,2024-01-22,2025-02-15,N,0.0
283,2024-01-19,2025-12-09,N,29.0
284,2024-01-01,,N,39.0
285,2024-01-11,,N,0.0
286,2024-01-12,,N,0.0
287,2024-01-13,2026-01-02,N,0.0
288,2024-01-18,,Y,0.0
289,2024-01-03,2025-12-23,Y,0.0
290,2024-01-01,03/31/2024,N,0.0
291,2024-01-18,12/08/2025,N,59.0
292,2024-01-29,,Y,59.0
293,2024-01-17,2025-06-10,N,0.0
294,2024-01-02,03/27/2025,Y,49.0
295,2024-01-29,,N,49.0
296,2024-01-22,2025-12-12,N,0.0
297,2024-01-24,,Y,149.0
298,,2025-12-21,N,0.0
299,2024-01-31,2024-08-28,Y,0.0
300,2024-01-08,,N,39.0
301,2024-01-17,,Y,0.0
302,2024-01-23,2026-01-12,Y,149.0
303,2024-01-30,2025-03-25,Y,39.0
304,2024-01-28,2025-06-21,N,99.0
305,2024-01-05,,Y,0.0
306,2024-01-18,2025-07-11,Y,0.0
307,2024-01-11,,N,0.0
308,2024-01-16,01/05/2026,Y,149.0
309,2024-01-13,,N,49.0
310,2024-01-20,2025-04-14,N,59.0
311,2024-01-23,,Y,99.0
312,2024-01-23,10/14/2025,Y,99.0
313,2024-01-15,,N,59.0
314,2024-01-28,03/23/2025,N,59.0
315,2024-01-08,2025-12-28,N,99.0
316,2024-01-15,,Y,29.0
317,2024-01-31,2024-06-29,Y,99.0
318,,2024-12-26,Y,149.0
319,2024-01-23,01/12/2026,N,99.0
320,2024-01-17,2024-08-14,Y,99.0
321,2024-01-09,2025-06-02,Y,99.0
322,2024-01-03,12/23/2025,N,59.0
323,2024-01-29,2024-08-26,N,39.0
324,2024-01-08,11/28/2025,Y,59.0
325,2024-01-18,2024-09-14,Y,49.0
326,2024-01-17,06/15/2024,Y,39.0
327,2024-01-22,,N,29.0
328,2024-01-04,04/03/2024,N,99.0
329,2024-01-28,,N,49.0
330,,2025-10-22,N,
331,2024-01-24,,N,0.0
332,2024-01-15,10/06/2025,N,49.0
333,2024-01-29,2024-07-27,N,29.0
334,2024-01-19,10/10/2025,N,79.0
335,2024-01-09,03/04/2025,N,79.0
336,2024-01-29,11/19/2025,Y,149.0
337,2024-01-09,,Y,149.0
338,2024-01-04,05/03/2024,Y,99.0
339,,,N,39.0
340,2024-01-30,2025-06-23,N,0.0
341,2024-01-27,2025-07-20,Y,0.0
342,2024-01-17,07/10/2025,N,0.0
343,2024-01-26,2024-06-24,Y,0.0
344,2024-01-29,05/28/2024,Y,0.0
345,2024-01-10,08/07/2024,N,0.0
346,2024-01-10,,Y,79.0
347,2024-01-17,10/08/2025,N,0.0
348,2024-01-28,,N,0.0
349,2024-01-18,2025-08-10,Y,39.0
350,2024-01-10,,Y,0.0
351,,04/30/2024,N,0.0
352,2024-01-16,,Y,39.0
353,2024-01-01,07/24/2025,Y,
354,,,N,99.0
355,2024-01-17,,Y,0.0
356,2024-01-01,,N,79.0
357,2024-01-29,,Y,99.0
358,2024-01-03,2025-10-24,Y,59.0
359,2024-01-28,04/27/2024,N,79.0
360,2024-01-16,2024-05-15,N,0.0
361,2024-01-12,03/07/2025,N,29.0
362,2024-01-11,,,0.0
363,2024-01-30,2024-11-25,N,0.0
364,2024-01-08,2025-01-02,Y,0.0
365,2024-01-31,01/20/2026,Y,39.0
366,2024-01-18,,N,99.0
367,2024-01-15,2025-11-05,,0.0
368,2024-01-13,2024-12-08,Y,0.0
369,2024-01-05,,N,0.0
370,2024-01-17,2025-09-08,Y,0.0
371,2024-01-16,,N,39.0
372,2024-01-31,07/24/2025,N,0.0
373,2024-01-19,07/12/2025,N,0.0
374,2024-01-03,02/26/2025,N,79.0
375,2024-01-07,,N,0.0
376,2024-01-02,2024-08-29,Y,0.0
377,2024-01-18,,N,0.0
378,2024-01-21,04/15/2025,Y,0.0
379,2024-01-25,,Y,0.0
380,2024-01-30,08/22/2025,N,79.0
381,,2025-02-24,Y,0.0
382,2024-01-26,06/24/2024,,0.0
383,2024-01-14,2024-10-10,N,49.0
384,2024-01-08,,N,0.0
385,2024-01-18,,N,49.0
386,2024-01-19,10/10/2025,Y,0.0
387,2024-01-15,,N,49.0
388,2024-01-09,,Y,0.0
389,2024-01-07,2024-09-03,N,
390,2024-01-06,2024-12-31,Y,0.0
391,2024-01-08,,N,0.0
392,2024-01-06,,Y,39.0
393,2024-01-08,05/02/2025,Y,149.0
394,2024-01-26,,N,39.0
395,2024-01-07,2024-04-06,,0.0
396,2024-01-14,06/07/2025,Y,
397,2024-01-24,2024-10-20,N,0.0
398,2024-01-22,,Y,99.0
399,2024-01-08,,N,
400,2024-01-26,,Y,0.0
401,2024-01-09,,Y,0.0
402,2024-01-24,2024-12-19,Y,0.0
403,2024-01-08,2024-09-04,N,59.0
404,2024-01-19,,Y,0.0
405,2024-01-17,01/06/2026,Y,29.0
406,2024-01-26,,N,0.0
407,2024-01-07,2025-06-30,N,99.0
408,,11/21/2025,N,59.0
409,2024-01-11,,,0.0
410,2024-01-07,11/27/2025,Y,29.0
411,2024-01-28,2025-07-21,N,0.0
412,2024-01-04,,N,0.0
413,2024-01-13,2024-07-11,N,39.0
414,2024-01-04,2024-12-29,Y,49.0
415,2024-01-12,,Y,0.0
416,2024-01-16,,Y,29.0
417,2024-01-23,,Y,49.0
418,2024-01-01,06/24/2025,Y,0.0
419,2024-01-02,,N,0.0
420,2024-01-10,2024-09-06,Y,79.0
421,2024-01-15,2024-11-10,N,79.0
422,2024-01-12,,Y,99.0
423,2024-01-30,,,0.0
424,2024-01-21,,Y,49.0
425,2024-01-10,,Y,0.0
426,2024-01-28,2024-04-27,N,0.0
427,2024-01-14,,N,39.0
428,2024-01-22,,N,0.0
429,2024-01-13,,,29.0
430,2024-01-28,11/23/2024,N,149.0
431,2024-01-21,,Y,79.0
432,2024-01-05,10/31/2024,Y,99.0
433,2024-01-31,2024-07-29,N,99.0
434,2024-01-09,04/03/2025,N,149.0
435,2024-01-30,09/21/2025,N,149.0
436,2024-01-09,01/03/2025,N,0.0
437,2024-01-31,2025-11-21,N,0.0
438,2024-01-17,,N,29.0
439,2024-01-19,08/11/2025,N,149.0
440,2024-01-30,,N,0.0
441,2024-01-17,,N,99.0
442,2024-01-19,04/18/2024,N,49.0
443,2024-01-02,2024-07-30,Y,0.0
444,2024-01-15,07/13/2024,N,0.0
445,2024-01-12,,N,29.0
446,2024-01-10,,Y,0.0
447,,2024-03-31,,0.0
448,2024-01-20,06/13/2025,Y,0.0
449,2024-01-08,2025-01-02,Y,0.0
450,2024-01-18,2024-07-16,Y,39.0
451,2024-01-30,,Y,29.0
452,2024-01-15,,N,0.0
453,2024-01-16,10/12/2024,N,39.0
454,2024-01-31,03/26/2025,Y,0.0
455,,,Y,79.0
456,2024-01-22,2025-07-15,Y,0.0
457,2024-01-02,,N,49.0
458,2024-01-05,2024-08-02,N,0.0
459,2024-01-24,2025-07-17,N,59.0
460,2024-01-30,01/24/2025,N,29.0
461,2024-01-19,2024-08-16,Y,0.0
462,2024-01-29,01/23/2025,Y,0.0
463,2024-01-07,,Y,29.0
464,2024-01-04,,Y,0.0
465,2024-01-31,,N,79.0
466,2024-01-16,2025-02-09,N,0.0
467,2024-01-20,,Y,99.0
468,2024-01-04,07/27/2025,N,0.0
469,2024-01-18,,N,0.0
470,2024-01-22,2025-09-13,N,0.0
471,2024-01-18,,N,0.0
472,2024-01-16,05/10/2025,Y,
473,2024-01-17,2025-02-10,Y,0.0
474,2024-01-06,2024-12-31,Y,0.0
475,2024-01-12,,Y,0.0
476,2024-01-06,2025-06-29,Y,0.0
477,2024-01-23,06/16/2025,Y,0.0
478,2024-01-19,09/10/2025,Y,149.0
479,2024-01-23,02/16/2025,N,59.0
480,2024-01-24,,Y,149.0
481,2024-01-23,2025-04-17,N,59.0
482,,,Y,0.0
483,2024-01-22,2025-07-15,Y,29.0
484,,2024-05-30,Y,59.0
485,2024-01-26,06/24/2024,Y,
486,2024-01-04,09/30/2024,,59.0
487,2024-01-10,07/03/2025,N,0.0
488,2024-01-07,2025-03-02,N,49.0
489,2024-01-19,2025-08-11,Y,0.0
490,2024-01-18,,N,39.0
491,2024-01-04,,N,0.0
492,2024-01-03,02/26/2025,Y,0.0
493,2024-01-01,2025-06-24,N,0.0
494,,2025-09-22,Y,0.0
495,2024-01-06,,N,59.0
496,2024-01-12,09/08/2024,N,0.0
497,2024-01-16,04/15/2024,N,0.0
498,2024-01-10,2025-10-31,Y,49.0
499,2024-01-18,,Y,
500,2024-01-03,2024-12-28,Y,0.0
501,,2024-03-31,Y,0.0
502,2024-01-10,,N,0.0
503,2024-01-30,,Y,0.0
504,2024-01-02,2025-11-22,N,39.0
505,2024-01-13,07/11/2024,N,59.0
506,2024-01-01,09/27/2024,N,99.0
507,2024-01-28,2024-08-25,Y,79.0
508,2024-01-11,01/05/2025,N,59.0
509,2024-01-10,05/04/2025,N,99.0
510,2024-01-13,2025-09-04,N,29.0
511,2024-01-03,2024-07-01,Y,0.0
512,2024-01-02,01/26/2025,Y,0.0
513,,,N,99.0
514,2024-01-23,10/19/2024,N,0.0
515,2024-01-10,07/08/2024,N,0.0
516,2024-01-18,2024-10-14,Y,0.0
517,2024-01-13,08/10/2024,N,0.0
518,,,Y,0.0
519,2024-01-14,01/03/2026,Y,0.0
520,2024-01-17,08/14/2024,,
521,2024-01-19,06/12/2025,Y,99.0
522,,2024-11-26,N,0.0
523,2024-01-25,,Y,79.0
524,2024-01-16,,N,59.0
525,2024-01-01,,N,0.0
526,2024-01-04,2024-10-30,Y,0.0
527,2024-01-10,2025-09-01,N,59.0
528,2024-01-21,08/13/2025,Y,0.0
529,2024-01-14,2024-09-10,Y,0.0
530,2024-01-02,,Y,29.0
531,2024-01-27,08/24/2024,Y,0.0
532,2024-01-27,,N,79.0
533,2024-01-08,,N,79.0
534,2024-01-02,,N,0.0
535,2024-01-02,,N,39.0
536,2024-01-10,10/31/2025,Y,0.0
537,2024-01-13,2024-08-10,Y,149.0
538,2024-01-16,02/09/2025,Y,0.0
539,2024-01-12,2025-04-06,N,149.0
540,2024-01-14,2026-01-03,Y,99.0
541,2024-01-01,09/22/2025,Y,0.0
542,2024-01-31,09/27/2024,N,0.0
543,2024-01-05,08/27/2025,N,0.0
544,,12/26/2024,Y,149.0
545,2024-01-19,2024-04-18,Y,0.0
546,2024-01-29,,Y,0.0
547,2024-01-22,2024-04-21,Y,79.0
548,2024-01-23,,Y,0.0
549,2024-01-24,05/23/2024,Y,0.0
550,2024-01-09,2024-06-07,Y,0.0
551,2024-01-17,11/12/2024,Y,49.0
552,2024-01-06,2025-04-30,Y,79.0
553,2024-01-18,2025-07-11,N,79.0
554,2024-01-28,2024-11-23,N,0.0
555,2024-01-30,2024-07-28,Y,0.0
556,2024-01-10,2025-01-04,N,0.0
557,2024-01-18,,Y,0.0
558,2024-01-17,2025-03-12,N,0.0
559,2024-01-15,,Y,0.0
560,2024-01-27,01/21/2025,N,0.0
561,2024-01-15,2024-11-10,Y,79.0
562,2024-01-31,04/25/2025,N,0.0
563,2024-01-25,10/16/2025,Y,99.0
564,2024-01-09,,Y,39.0
565,2024-01-01,12/21/2025,N,59.0
566,2024-01-27,04/21/2025,,49.0
567,2024-01-15,,N,29.0
568,,,N,0.0
569,2024-01-01,2024-03-31,Y,0.0
570,2024-01-26,2024-07-24,Y,39.0
571,2024-01-06,05/05/2024,N,0.0
572,2024-01-27,05/21/2025,Y,
573,2024-01-18,2025-04-12,Y,49.0
574,2024-01-21,2025-10-12,N,0.0
575,2024-01-16,10/07/2025,Y,0.0
576,2024-01-06,,Y,0.0
577,2024-01-12,,N,149.0
578,2024-01-14,2025-03-09,N,0.0
579,2024-01-08,12/03/2024,Y,149.0
580,2024-01-19,,N,99.0
581,2024-01-10,12/30/2025,N,79.0
582,,11/26/2024,Y,0.0
583,2024-01-10,,Y,0.0
584,2024-01-21,,Y,0.0
585,2024-01-03,,Y,0.0
586,2024-01-22,,N,59.0
587,2024-01-31,,N,0.0
588,2024-01-02,,Y,0.0
589,2024-01-08,2024-05-07,Y,49.0
590,2024-01-12,09/03/2025,Y,0.0
591,2024-01-05,10/31/2024,Y,0.0
592,2024-01-25,,N,0.0
593,2024-01-25,07/18/2025,N,0.0
594,2024-01-27,2024-08-24,,0.0
595,2024-01-22,,Y,29.0
596,2024-01-25,2024-10-21,N,0.0
597,2024-01-23,2025-09-14,N,0.0
598,2024-01-10,2025-08-02,N,
599,2024-01-13,02/06/2025,Y,0.0
600,,2024-04-30,N,49.0
601,2024-01-24,12/14/2025,Y,99.0
602,2024-01-11,,N,149.0
603,2024-01-19,,Y,0.0
604,2024-01-15,,N,49.0
605,2024-01-21,2024-12-16,N,79.0
606,2024-01-21,,N,0.0
607,2024-01-19,01/13/2025,N,0.0
608,2024-01-29,,Y,149.0
609,2024-01-06,,N,59.0
610,2024-01-04,01/28/2025,N,39.0
611,2024-01-01,03/26/2025,Y,0.0
612,2024-01-31,,Y,0.0
613,2024-01-31,,Y,0.0
614,2024-01-16,11/11/2024,N,0.0
615,2024-01-02,,N,0.0
616,2024-01-30,,N,79.0
617,2024-01-21,2025-05-15,Y,39.0
618,2024-01-06,05/30/2025,Y,59.0
619,2024-01-10,04/09/2024,Y,59.0
620,2024-01-21,02/14/2025,Y,
621,,2025-05-25,N,0.0
622,2024-01-16,2025-01-10,Y,0.0
623,2024-01-03,07/26/2025,Y,79.0
624,2024-01-25,03/20/2025,Y,0.0
625,2024-01-26,2025-05-20,Y,79.0
626,2024-01-25,04/24/2024,N,0.0
627,2024-01-04,11/24/2025,Y,0.0
628,2024-01-24,,Y,59.0
629,2024-01-12,,Y,39.0
630,,11/26/2024,Y,0.0
631,2024-01-01,03/31/2024,N,59.0
632,2024-01-03,,Y,0.0
633,2024-01-28,10/24/2024,N,0.0
634,2024-01-21,01/10/2026,Y,0.0
635,2024-01-21,09/12/2025,N,0.0
636,2024-01-07,,Y,0.0
637,2024-01-06,2024-09-02,Y,79.0
638,2024-01-17,2024-06-15,N,39.0
639,2024-01-24,11/14/2025,N,0.0
640,2024-01-02,,N,39.0
641,2024-01-21,,Y,59.0
642,2024-01-17,05/11/2025,N,59.0
643,2024-01-18,,Y,0.0
644,2024-01-15,04/14/2024,N,0.0
645,2024-01-30,01/24/2025,N,0.0
646,2024-01-08,,N,59.0
647,,,N,0.0
648,2024-01-01,2025-12-21,Y,0.0
649,2024-01-04,06/27/2025,Y,149.0
650,2024-01-30,,Y,99.0
651,2024-01-02,2025-04-26,Y,0.0
652,2024-01-20,,Y,0.0
653,2024-01-30,,N,0.0
654,2024-01-12,01/06/2025,Y,0.0
655,2024-01-03,08/25/2025,N,99.0
656,2024-01-18,10/14/2024,N,59.0
657,,2024-12-26,Y,0.0
658,2024-01-29,,N,99.0
659,2024-01-17,,Y,0.0
660,,,N,79.0
661,,2024-10-27,Y,0.0
662,2024-01-13,10/04/2025,N,49.0
663,,12/21/2025,Y,0.0
664,2024-01-21,,N,0.0
665,2024-01-03,2025-08-25,N,0.0
666,2024-01-22,,N,0.0
667,2024-01-14,10/10/2024,N,49.0
668,2024-01-15,,Y,0.0
669,2024-01-28,08/25/2024,Y,0.0
670,2024-01-27,2024-06-25,N,0.0
671,2024-01-19,02/12/2025,Y,0.0
672,2024-01-18,2025-12-08,N,79.0
673,2024-01-19,04/18/2024,N,59.0
674,2024-01-08,,N,79.0
675,2024-01-29,2024-08-26,N,0.0
676,2024-01-24,2025-12-14,N,0.0
677,2024-01-18,2025-11-08,N,49.0
678,2024-01-04,2024-07-02,Y,29.0
679,2024-01-28,11/18/2025,N,0.0
680,2024-01-01,11/26/2024,N,99.0
681,2024-01-17,2024-08-14,N,79.0
682,2024-01-25,,Y,99.0
683,2024-01-10,2025-06-03,N,149.0
684,2024-01-15,2024-12-10,N,0.0
685,2024-01-25,,N,0.0
686,2024-01-23,,N,99.0
687,2024-01-14,03/09/2025,N,0.0
688,2024-01-01,,Y,0.0
689,2024-01-16,01/05/2026,Y,29.0
690,,,N,99.0
691,2024-01-16,,Y,0.0
692,2024-01-30,2025-12-20,Y,149.0
693,2024-01-15,2025-12-05,Y,49.0
694,2024-01-01,,N,0.0
695,2024-01-14,02/07/2025,Y,0.0
696,2024-01-03,2025-06-26,N,39.0
697,2024-01-03,2025-05-27,N,0.0
698,2024-01-01,2024-10-27,Y,29.0
699,2024-01-28,09/19/2025,N,59.0
700,2024-01-26,,N,0.0
701,2024-01-20,04/19/2024,Y,29.0
702,,2025-10-22,Y,0.0
703,2024-01-16,2025-11-06,N,0.0
