user_id,signup_date,plan_type,country,industry,acquisition_channel
53,2024-03-09,Free,US,Manufacturing,linkedin
54,2024-04-17,PAID,CA,Healthcare,facebook
55,2024-01-27,paid,IN,Healthcare,google
56,,paid,JP,Education,organic
57,2024-10-09,free,IN,Healthcare,facebook
58,19-12-2024,PAID,FR,Tech,linkedin
59,2024-08-08,Free,FR,Education,linkedin
60,2024-05-07,PAID,FR,Retail,google
61,05/01/2024,Free,CA,Tech,linkedin
62,,Paid,DE,Manufacturing,linkedin
63,2024-05-07,Free,AU,Manufacturing,facebook
64,2024-08-28,Paid,IN,Finance,organic
65,2024-04-26,Paid,IN,Manufacturing,referral
66,05-02-2024,PAID,FR,Retail,linkedin
67,2024-10-01,paid,CA,Manufacturing,linkedin
68,2024-05-15,PAID,JP,Retail,referral
69,2024-08-11,PAID,AU,Manufacturing,linkedin
70,2024-01-23,,JP,Retail,facebook
71,2024-10-02,Free,AU,Education,facebook
72,06-12-2024,FREE,CA,Education,referral
73,2024-09-16,PAID,US,Retail,linkedin
74,2024-03-06,PAID,IN,Manufacturing,linkedin
75,2024-03-30,Free,AU,Education,organic
76,2024-08-08,Paid,DE,Retail,linkedin
77,2024-12-11,FREE,JP,Tech,facebook
78,2024-09-20,free,IN,Manufacturing,google
79,04/25/2024,free,CA,Finance,google
80,11/08/2024,PAID,CA,Healthcare,google
81,2024-12-22,FREE,DE,Healthcare,
82,2024-02-24,paid,AU,Manufacturing,google
83,2024-03-03,Paid,DE,Tech,linkedin
84,2024-09-15,paid,US,Finance,linkedin
85,2024-08-31,PAID,US,Healthcare,organic
86,2024-05-02,paid,CA,Finance,linkedin
87,06/12/2024,free,JP,Education,google
88,2024-03-19,Paid,JP,Education,referral
89,2024-07-31,PAID,JP,Retail,referral
90,01/11/2024,Paid,GB,Manufacturing,facebook
91,,Paid,GB,Finance,facebook
92,2024-10-06,paid,IN,Manufacturing,linkedin
93,2024-09-05,PAID,AU,Retail,referral
94,27-08-2024,Free,CA,Tech,google
95,2024-12-05,Free,US,Manufacturing,google
96,2024-05-13,Paid,CA,Education,google
97,2024-07-13,Paid,US,Healthcare,linkedin
98,2024-08-28,paid,AU,Finance,linkedin
99,2024-11-29,free,AU,Retail,organic
100,2024-11-14,FREE,FR,Healthcare,google
101,2024-08-26,FREE,DE,Healthcare,google
102,2024-02-28,paid,CA,Manufacturing,linkedin
103,2024-06-08,Paid,FR,Retail,linkedin
104,2024-04-11,free,GB,Retail,organic
105,06/03/2024,FREE,GB,Education,organic
106,2024-06-26,FREE,US,Education,facebook
107,01/07/2024,Free,DE,Tech,referral
108,11/21/2024,Free,AU,Healthcare,google
109,24-09-2024,Paid,FR,Education,google
110,2024-10-30,Free,AU,Manufacturing,organic
111,2024-05-04,Paid,US,Healthcare,organic
112,,Free,AU,Manufacturing,facebook
113,2024-05-12,PAID,DE,Education,referral
114,,free,JP,Manufacturing,facebook
115,2024-09-07,PAID,AU,Manufacturing,referral
116,2024-08-17,Free,CA,Healthcare,google
117,2024-06-05,Paid,JP,Education,facebook
118,2024-10-08,Paid,FR,Finance,organic
119,2024-03-02,free,AU,Education,facebook
120,2024-09-04,paid,GB,Tech,facebook
121,2024-05-31,FREE,DE,Retail,google
122,2024-05-20,PAID,CA,Manufacturing,organic
123,11/22/2024,FREE,GB,Tech,organic
124,2024-09-02,Free,GB,Finance,linkedin
125,2024-09-01,paid,FR,Tech,linkedin
126,2024-12-17,paid,IN,Education,linkedin
127,2024-03-01,FREE,IN,Education,google
128,2024-08-14,Paid,FR,Manufacturing,facebook
129,2024-01-31,FREE,DE,Education,organic
130,2024-12-04,free,FR,Manufacturing,organic
131,,Paid,CA,Manufacturing,facebook
132,,PAID,CA,Education,organic
133,2024-02-06,Free,CA,Finance,facebook
134,2024-04-25,free,FR,Retail,google
135,,Paid,JP,Retail,google
136,2024-12-18,PAID,IN,Tech,google
137,2024-08-12,PAID,AU,Healthcare,facebook
138,2024-05-08,FREE,AU,Tech,facebook
139,2024-10-22,PAID,FR,Manufacturing,referral
140,2024-05-22,paid,GB,Healthcare,organic
141,2024-07-28,Free,FR,Finance,organic
142,2024-09-10,Free,CA,Tech,
143,2024-05-09,PAID,GB,Manufacturing,referral
144,2024-01-01,paid,FR,Manufacturing,referral
145,2024-07-04,paid,US,Tech,google
146,2024-10-08,paid,FR,Tech,referral
147,,FREE,DE,Tech,facebook
148,2024-10-09,free,CA,Healthcare,linkedin
149,2024-03-01,PAID,JP,Tech,facebook
150,07/31/2024,Free,AU,Retail,referral
151,2024-07-15,free,FR,Tech,organic
152,2024-07-31,paid,JP,Healthcare,facebook
153,06/01/2024,paid,JP,Manufacturing,organic
154,2024-09-04,Paid,US,Healthcare,facebook
155,06-04-2024,paid,CA,Education,organic
156,2024-07-29,Paid,FR,Healthcare,facebook
157,29-11-2024,free,CA,Manufacturing,organic
158,2024-10-29,paid,CA,Manufacturing,linkedin
159,2024-08-21,free,FR,Education,google
160,2024-05-15,Free,IN,Education,facebook
161,2024-09-30,PAID,DE,Finance,linkedin
162,,paid,US,Healthcare,google
163,10-08-2024,Free,JP,Finance,facebook
164,02-06-2024,Free,US,Finance,linkedin
165,2024-08-08,free,GB,Finance,linkedin
166,11/08/2024,Free,US,Manufacturing,linkedin
167,2024-03-14,Paid,IN,Finance,referral
168,26-08-2024,free,IN,Manufacturing,organic
169,25-06-2024,PAID,AU,Tech,google
170,2024-06-03,paid,GB,Education,organic
171,2024-10-19,paid,CA,Manufacturing,organic
172,2024-12-03,,IN,Healthcare,organic
173,26-01-2024,paid,FR,Education,linkedin
174,2024-06-29,PAID,CA,Retail,organic
175,2024-12-03,FREE,AU,Retail,referral
176,2024-06-07,PAID,GB,Tech,facebook
177,2024-05-31,free,JP,Finance,linkedin
178,2024-07-06,Free,GB,Healthcare,google
179,03-09-2024,paid,US,Finance,facebook
180,2024-02-08,PAID,AU,Tech,facebook
181,2024-07-21,Paid,FR,Retail,facebook
182,2024-12-10,paid,JP,Manufacturing,organic
183,2024-08-29,PAID,CA,Education,organic
184,2024-02-02,PAID,FR,Education,linkedin
185,2024-03-12,paid,GB,Finance,organic
186,2024-10-02,PAID,AU,Retail,organic
187,03/20/2024,PAID,US,Manufacturing,organic
188,2024-05-23,Paid,US,Manufacturing,linkedin
189,2024-07-04,paid,CA,Finance,linkedin
190,07-04-2024,paid,GB,Finance,referral
191,2024-11-24,Free,FR,Finance,referral
192,2024-03-05,FREE,JP,Healthcare,referral
193,2024-04-29,Free,GB,Retail,referral
194,15-03-2024,free,CA,Education,facebook
195,2024-01-14,FREE,CA,Retail,facebook
196,2024-03-30,PAID,IN,Education,referral
197,2024-02-02,Free,GB,Tech,referral
198,2024-11-10,Paid,GB,Education,google
199,2024-01-16,Paid,CA,Manufacturing,facebook
200,2024-09-08,Free,JP,Tech,google
201,2024-02-03,Paid,AU,Retail,google
202,2024-09-28,paid,CA,Education,organic
203,02/28/2024,Free,US,Healthcare,linkedin
204,2024-04-26,Paid,US,Finance,facebook
205,2024-06-09,paid,JP,Education,referral
206,2024-08-30,Free,IN,Manufacturing,
207,07/09/2024,PAID,JP,Retail,referral
208,06/30/2024,PAID,US,Education,linkedin
209,,Paid,GB,Healthcare,facebook
210,2024-09-16,free,FR,Tech,referral
211,2024-10-11,Free,IN,Healthcare,referral
212,2024-11-14,FREE,AU,Finance,organic
213,2024-12-21,Paid,JP,Finance,google
214,04/02/2024,paid,US,Retail,referral
215,20-11-2024,Free,CA,Manufacturing,facebook
216,2024-06-23,PAID,US,Tech,linkedin
217,2024-01-27,FREE,IN,Manufacturing,organic
218,2024-08-14,Paid,CA,Healthcare,facebook
219,2024-09-19,PAID,DE,Manufacturing,organic
220,2024-09-06,Free,DE,Education,google
221,2024-01-29,free,GB,Education,
222,2024-05-28,,US,Manufacturing,referral
223,2024-03-30,FREE,GB,Healthcare,facebook
224,12/08/2024,Free,GB,Tech,linkedin
225,,PAID,JP,Finance,google
226,2024-07-26,Free,GB,Healthcare,google
227,,PAID,CA,Retail,organic
228,2024-02-15,PAID,JP,Retail,google
229,2024-02-10,paid,US,Manufacturing,facebook
230,2024-03-27,Free,JP,Tech,organic
231,11/26/2024,Free,CA,Manufacturing,google
232,2024-11-04,free,GB,Retail,linkedin
233,2024-11-17,PAID,US,Healthcare,facebook
234,2024-10-16,PAID,FR,Education,linkedin
235,2024-08-13,Paid,JP,Retail,linkedin
236,2024-06-29,paid,CA,Retail,organic
237,,FREE,FR,Retail,referral
238,2024-02-16,PAID,JP,Healthcare,organic
239,2024-01-22,Free,FR,Education,facebook
240,2024-09-13,Free,GB,Finance,facebook
241,2024-02-13,FREE,US,Education,organic
242,2024-08-12,Paid,IN,Finance,
243,2024-07-17,FREE,FR,Healthcare,referral
244,2024-02-03,Paid,IN,Retail,organic
245,02-12-2024,Free,IN,Finance,facebook
246,2024-12-05,paid,FR,Manufacturing,referral
247,2024-02-13,paid,GB,Healthcare,facebook
248,16-12-2024,PAID,JP,Healthcare,referral
249,2024-07-04,Paid,DE,Tech,referral
250,2024-03-11,FREE,CA,Finance,organic
251,2024-09-26,FREE,US,Education,organic
252,2024-03-24,FREE,FR,Retail,organic
253,2024-07-29,PAID,DE,Manufacturing,referral
254,2024-08-17,paid,JP,Tech,referral
255,19-10-2024,Paid,CA,Tech,facebook
256,02-08-2024,Free,JP,Tech,linkedin
257,,PAID,GB,Manufacturing,organic
258,12/30/2024,paid,US,Finance,facebook
259,2024-05-19,paid,JP,Finance,facebook
260,04/23/2024,Free,US,Tech,google
261,,Free,JP,Education,organic
262,2024-07-10,FREE,CA,Manufacturing,facebook
263,2024-03-15,PAID,GB,Manufacturing,google
264,2024-12-27,free,FR,Retail,organic
265,2024-03-17,paid,AU,Tech,referral
266,2024-05-01,PAID,FR,Finance,google
267,2024-08-22,PAID,FR,Education,referral
268,2024-11-19,Free,DE,Retail,linkedin
269,2024-11-10,FREE,GB,Retail,linkedin
270,25-09-2024,Free,FR,Manufacturing,linkedin
271,2024-01-23,PAID,GB,Tech,linkedin
272,,paid,IN,Education,facebook
273,2024-11-17,paid,FR,Tech,linkedin
274,,FREE,JP,Healthcare,facebook
275,2024-12-22,free,DE,Finance,facebook
276,2024-08-22,free,CA,Tech,organic
277,2024-06-07,Paid,JP,Manufacturing,facebook
278,,Paid,GB,Manufacturing,facebook
279,01/25/2024,Free,GB,Retail,linkedin
280,2024-07-23,Paid,US,Healthcare,facebook
281,2024-09-11,paid,US,Retail,referral
282,2024-02-10,FREE,CA,Healthcare,linkedin
283,2024-02-22,Paid,FR,Finance,google
284,2024-08-06,paid,DE,Tech,
285,2024-06-29,free,FR,Tech,linkedin
286,2024-07-26,free,DE,Tech,
287,2024-11-07,free,FR,Education,facebook
288,2024-11-26,FREE,DE,Education,referral
289,18-08-2024,FREE,JP,Finance,linkedin
290,2024-07-06,free,DE,Finance,referral
291,,PAID,FR,Finance,
292,2024-05-13,PAID,DE,Manufacturing,google
293,2024-09-08,Free,AU,Finance,google
294,2024-12-31,PAID,GB,Healthcare,organic
295,2024-02-03,paid,CA,Tech,
296,2024-12-24,free,CA,Healthcare,organic
297,2024-03-12,PAID,AU,Education,linkedin
298,08/27/2024,free,DE,Tech,organic
299,2024-09-02,free,DE,Retail,referral
300,2024-11-24,paid,JP,Retail,organic
301,2024-10-09,Free,US,Tech,referral
302,01/29/2024,paid,JP,Education,organic
303,2024-12-29,paid,GB,Retail,organic
304,21-11-2024,PAID,JP,Finance,organic
305,2024-09-14,free,IN,Retail,facebook
306,2024-11-05,free,US,Manufacturing,facebook
307,2024-11-24,FREE,IN,Tech,organic
308,2024-11-23,PAID,JP,Healthcare,referral
309,2024-09-04,Paid,FR,Finance,linkedin
310,2024-12-18,Paid,JP,Healthcare,google
311,2024-11-06,PAID,IN,Education,facebook
312,25-06-2024,PAID,AU,Manufacturing,organic
313,2024-06-12,paid,FR,Retail,google
314,2024-01-26,paid,AU,Education,facebook
315,03/22/2024,paid,IN,Healthcare,linkedin
316,12-09-2024,Paid,GB,Education,referral
317,,paid,IN,Retail,organic
318,2024-06-29,Paid,IN,Healthcare,linkedin
319,2024-02-25,Paid,IN,Retail,facebook
320,2024-07-24,PAID,US,Tech,organic
321,2024-07-16,PAID,JP,Education,google
322,2024-03-01,Paid,FR,Healthcare,referral
323,2024-07-06,PAID,AU,Healthcare,facebook
324,,Paid,IN,Retail,referral
325,2024-03-17,PAID,IN,Healthcare,organic
326,20-07-2024,PAID,JP,Tech,linkedin
327,2024-09-17,Paid,DE,Manufacturing,referral
328,2024-07-07,PAID,AU,Healthcare,
329,2024-12-18,PAID,CA,Retail,google
330,2024-10-23,paid,DE,Retail,facebook
331,2024-11-13,free,CA,Healthcare,google
332,2024-12-24,,US,Tech,referral
333,2024-03-18,PAID,JP,Healthcare,linkedin
334,2024-12-27,PAID,JP,Finance,linkedin
335,2024-07-11,PAID,FR,Finance,google
336,2024-12-14,paid,CA,Retail,organic
337,2024-05-22,Paid,AU,Finance,organic
338,2024-12-19,PAID,IN,Healthcare,linkedin
339,2024-05-20,Paid,AU,Manufacturing,google
340,2024-03-15,Free,AU,Retail,google
341,2024-12-01,FREE,FR,Healthcare,google
342,2024-10-14,free,GB,Retail,referral
343,,FREE,US,Retail,organic
344,2024-02-21,FREE,IN,Healthcare,organic
345,03-01-2024,Free,AU,Retail,referral
346,2024-08-31,Paid,FR,Retail,facebook
347,31-01-2024,FREE,DE,Tech,referral
348,20-01-2024,free,CA,Education,google
349,2024-07-22,paid,IN,Tech,referral
350,,Free,FR,Tech,google
351,2024-11-24,FREE,AU,Retail,linkedin
352,04/08/2024,PAID,CA,Retail,
353,2024-04-05,PAID,DE,Finance,google
354,2024-04-08,Paid,DE,Finance,organic
355,2024-02-14,Free,CA,Retail,referral
356,2024-05-07,Paid,DE,Healthcare,google
357,2024-06-03,PAID,FR,Education,facebook
358,2024-04-30,paid,DE,Education,linkedin
359,14-09-2024,PAID,JP,Tech,facebook
360,2024-05-31,Free,AU,Manufacturing,facebook
361,2024-11-06,PAID,DE,Tech,facebook
362,2024-04-21,FREE,IN,Finance,
363,2024-12-26,free,CA,Healthcare,linkedin
364,2024-09-15,Free,FR,Education,linkedin
365,2024-08-14,paid,GB,Manufacturing,linkedin
366,08/16/2024,Paid,US,Education,linkedin
367,2024-10-13,Free,JP,Retail,facebook
368,2024-01-02,Free,AU,Education,organic
369,2024-02-02,Free,CA,Healthcare,organic
370,,FREE,IN,Finance,linkedin
371,26-11-2024,Paid,DE,Healthcare,
372,2024-07-12,FREE,DE,Tech,referral
373,2024-03-01,FREE,AU,Education,google
374,2024-01-02,PAID,AU,Tech,referral
375,2024-08-05,Free,CA,Finance,referral
376,2024-05-21,free,DE,Finance,referral
377,2024-08-02,free,US,Education,organic
378,2024-02-21,free,IN,Education,google
379,2024-07-24,free,IN,Finance,referral
380,2024-05-28,PAID,US,Tech,linkedin
381,12/10/2024,FREE,IN,Manufacturing,organic
382,2024-07-30,FREE,JP,Tech,linkedin
383,2024-10-11,PAID,US,Healthcare,linkedin
384,2024-08-01,FREE,JP,Tech,referral
385,2024-04-25,paid,US,Retail,linkedin
386,2024-08-01,Free,JP,Tech,google
387,2024-11-27,paid,AU,Retail,linkedin
388,2024-04-07,free,JP,Retail,referral
389,2024-10-27,paid,AU,Education,linkedin
390,2024-06-19,free,DE,Education,organic
391,2024-03-01,FREE,AU,Tech,
392,2024-04-14,Paid,CA,Education,organic
393,2024-09-30,PAID,IN,Education,organic
394,2024-08-26,Paid,JP,Retail,facebook
395,2024-07-08,FREE,GB,Healthcare,organic
396,2024-05-13,Paid,US,Retail,organic
397,2024-06-17,Free,DE,Education,facebook
398,2024-12-16,PAID,FR,Manufacturing,organic
399,2024-09-08,paid,CA,Healthcare,referral
400,2024-10-06,FREE,AU,Education,organic
401,,free,FR,Education,organic
402,2024-11-18,free,CA,Manufacturing,facebook
403,2024-07-10,PAID,DE,Finance,referral
404,2024-01-04,FREE,JP,Education,linkedin
405,01-10-2024,,IN,Finance,google
406,2024-12-11,free,JP,Manufacturing,referral
407,2024-09-25,Paid,AU,Manufacturing,linkedin
408,2024-07-22,PAID,CA,Retail,referral
409,2024-12-22,FREE,FR,Healthcare,linkedin
410,2024-11-28,Paid,DE,Finance,linkedin
411,2024-01-29,Free,AU,Finance,referral
412,2024-11-26,FREE,IN,Manufacturing,facebook
413,2024-04-27,Paid,CA,Healthcare,referral
414,,PAID,GB,Tech,referral
415,2024-01-17,free,IN,Manufacturing,linkedin
416,12/30/2024,paid,JP,Healthcare,google
417,10/17/2024,Paid,US,Finance,linkedin
418,2024-03-12,FREE,JP,Retail,organic
419,2024-06-26,Free,DE,Manufacturing,referral
420,10-11-2024,paid,CA,Manufacturing,referral
421,2024-08-18,Paid,JP,Manufacturing,facebook
422,2024-10-26,paid,JP,Healthcare,linkedin
423,2024-02-12,FREE,JP,Education,facebook
424,2024-07-03,,US,Manufacturing,referral
425,2024-07-03,free,JP,Education,linkedin
426,2024-10-12,free,GB,Tech,linkedin
427,2024-02-17,paid,CA,Retail,organic
428,2024-07-17,FREE,JP,Tech,organic
429,2024-12-16,Paid,CA,Retail,google
430,2024-02-02,Paid,GB,Finance,organic
431,2024-07-03,PAID,CA,Manufacturing,linkedin
432,2024-08-22,Paid,US,Manufacturing,organic
433,07/13/2024,Paid,US,Education,google
434,29-11-2024,PAID,GB,Tech,referral
435,2024-04-12,Paid,GB,Manufacturing,organic
436,2024-12-21,Free,IN,Tech,linkedin
437,2024-07-20,FREE,GB,Retail,referral
438,2024-04-02,PAID,DE,Finance,linkedin
439,05/29/2024,PAID,DE,Healthcare,referral
440,2024-11-20,FREE,CA,Retail,linkedin
441,2024-07-12,PAID,FR,Retail,organic
442,16-09-2024,PAID,IN,Education,organic
443,,free,GB,Manufacturing,google
444,2024-12-02,FREE,IN,Retail,referral
445,2024-12-12,Paid,GB,Manufacturing,google
446,2024-02-20,Free,AU,Manufacturing,facebook
447,2024-08-25,Free,US,Finance,organic
448,2024-09-04,free,IN,Education,referral
449,2024-03-13,FREE,JP,Education,google
450,2024-08-31,Paid,IN,Finance,google
451,01/23/2024,PAID,FR,Finance,facebook
452,25-03-2024,FREE,IN,Retail,google
453,2024-10-13,PAID,GB,Tech,linkedin
454,2024-11-23,Free,US,Manufacturing,organic
455,2024-07-18,PAID,AU,Retail,google
456,2024-02-02,Free,CA,Retail,
457,2024-08-22,PAID,IN,Education,google
458,2024-06-09,Free,DE,Education,facebook
459,2024-08-22,PAID,GB,Education,linkedin
460,2024-12-10,paid,DE,Tech,google
461,2024-12-21,FREE,US,Retail,organic
462,2024-04-05,FREE,DE,Healthcare,organic
463,2024-05-27,PAID,US,Healthcare,google
464,,Free,CA,Healthcare,linkedin
465,15-07-2024,Paid,IN,Tech,organic
466,2024-07-31,free,US,Tech,organic
467,2024-04-22,paid,JP,Healthcare,linkedin
468,2024-10-16,FREE,GB,Healthcare,linkedin
469,10/05/2024,FREE,GB,Manufacturing,google
470,21-04-2024,Free,JP,Manufacturing,
471,2024-01-17,Free,CA,Manufacturing,referral
472,2024-03-01,PAID,JP,Tech,facebook
473,2024-08-07,free,JP,Tech,referral
474,2024-10-18,Free,DE,Healthcare,referral
475,2024-05-29,free,CA,Tech,organic
476,29-07-2024,FREE,US,Healthcare,linkedin
477,2024-05-07,FREE,AU,Education,organic
478,2024-03-13,Paid,AU,Finance,facebook
479,2024-11-20,PAID,GB,Education,google
480,21-12-2024,Paid,US,Manufacturing,facebook
481,2024-02-17,paid,US,Manufacturing,organic
482,2024-07-22,Free,CA,Healthcare,organic
483,2024-05-25,Paid,US,Education,organic
484,2024-01-25,paid,FR,Education,organic
485,2024-03-21,,DE,Education,referral
486,13-04-2024,paid,GB,Manufacturing,google
487,2024-05-20,Free,CA,Healthcare,referral
488,2024-11-28,PAID,CA,Manufacturing,organic
489,2024-04-29,free,US,Tech,linkedin
490,2024-02-09,paid,AU,Retail,referral
491,,Free,CA,Manufacturing,organic
492,2024-09-01,free,FR,Retail,organic
493,2024-06-02,FREE,AU,Education,google
494,2024-03-14,Free,GB,Education,facebook
495,2024-04-19,PAID,IN,Manufacturing,referral
496,2024-04-21,FREE,JP,Manufacturing,referral
497,28-06-2024,free,DE,Healthcare,referral
498,2024-02-13,PAID,DE,Retail,organic
499,,paid,CA,Tech,google
500,2024-09-17,free,GB,Manufacturing,organic
501,2024-02-27,FREE,DE,Finance,organic
502,07-01-2024,Free,AU,Education,linkedin
503,2024-10-18,Free,JP,Tech,google
504,2024-02-07,paid,US,Manufacturing,referral
505,,PAID,AU,Education,facebook
506,2024-12-30,paid,DE,Retail,referral
507,2024-10-02,paid,AU,Retail,organic
508,14-04-2024,Paid,AU,Education,google
509,2024-11-28,PAID,IN,Healthcare,google
510,2024-05-02,paid,DE,Tech,google
511,2024-11-07,free,DE,Tech,linkedin
512,,free,GB,Healthcare,referral
513,2024-06-26,paid,AU,Finance,linkedin
514,2024-05-17,Free,IN,Tech,facebook
515,2024-05-19,Free,CA,Finance,organic
516,2024-07-03,Free,DE,Manufacturing,linkedin
517,02/22/2024,free,FR,Education,linkedin
518,2024-01-02,free,AU,Retail,organic
519,15-07-2024,FREE,JP,Tech,google
520,2024-12-31,paid,IN,Healthcare,
521,2024-06-12,paid,IN,Healthcare,organic
522,2024-01-27,Free,IN,Education,referral
523,08/26/2024,Paid,DE,Education,organic
524,2024-08-21,PAID,DE,Tech,google
525,2024-08-25,FREE,GB,Manufacturing,organic
526,2024-05-05,free,JP,Retail,linkedin
527,11/21/2024,paid,DE,Manufacturing,facebook
528,07/11/2024,free,US,Tech,
529,2024-05-01,FREE,FR,Retail,linkedin
530,23-01-2024,PAID,CA,Manufacturing,facebook
531,22-08-2024,FREE,US,Manufacturing,organic
532,2024-07-20,PAID,AU,Tech,referral
533,2024-05-01,PAID,US,Manufacturing,organic
534,2024-06-16,free,DE,Healthcare,google
535,2024-10-26,Paid,CA,Education,organic
536,2024-03-02,Free,CA,Healthcare,facebook
537,05/15/2024,PAID,FR,Healthcare,linkedin
538,2024-01-21,free,AU,Tech,referral
539,2024-07-01,Paid,GB,Manufacturing,organic
540,2024-03-30,PAID,CA,Manufacturing,organic
541,2024-05-07,free,AU,Healthcare,linkedin
542,,free,GB,Manufacturing,referral
543,2024-07-24,FREE,IN,Finance,organic
544,2024-02-08,paid,GB,Finance,organic
545,2024-06-18,free,AU,Education,facebook
546,08/09/2024,Free,GB,Retail,facebook
547,2024-03-29,Paid,DE,Manufacturing,google
548,2024-03-17,FREE,DE,Finance,linkedin
549,07/29/2024,Free,IN,Retail,referral
550,2024-08-02,FREE,CA,Healthcare,organic
551,2024-10-05,Paid,FR,Retail,organic
552,2024-09-05,Paid,IN,Tech,google
553,2024-01-14,paid,JP,Education,organic
554,2024-08-29,free,DE,Manufacturing,linkedin
555,2024-12-02,free,AU,Finance,google
556,2024-07-17,free,US,Tech,linkedin
557,06/11/2024,FREE,AU,Retail,google
558,2024-10-17,Free,US,Finance,organic
559,2024-03-30,FREE,DE,Tech,google
560,2024-09-26,free,FR,Education,facebook
561,31-03-2024,paid,US,Tech,referral
562,,free,AU,Retail,organic
563,05-07-2024,PAID,CA,Manufacturing,referral
564,2024-06-03,PAID,US,Education,organic
565,2024-11-28,paid,JP,Manufacturing,referral
566,2024-03-30,paid,US,Healthcare,facebook
567,01-01-2024,PAID,FR,Finance,referral
568,,FREE,IN,Healthcare,google
569,2024-09-11,Free,CA,Tech,referral
570,2024-03-26,Paid,DE,Education,organic
571,,Free,DE,Healthcare,linkedin
572,2024-02-25,PAID,AU,Finance,referral
573,03/26/2024,Paid,JP,Manufacturing,referral
574,02/21/2024,free,FR,Healthcare,referral
575,2024-01-18,free,DE,Finance,organic
576,2024-07-11,Free,GB,Tech,referral
577,11/10/2024,PAID,CA,Retail,organic
578,2024-08-10,free,GB,Education,organic
579,2024-10-10,PAID,US,Tech,linkedin
580,2024-05-01,paid,US,Retail,google
581,,,US,Healthcare,organic
582,2024-12-04,free,AU,Healthcare,
583,2024-11-22,Free,US,Healthcare,facebook
584,2024-08-29,FREE,DE,Education,referral
585,2024-04-04,Free,FR,Finance,facebook
586,,paid,GB,Manufacturing,referral
587,2024-10-15,free,JP,Education,linkedin
588,2024-10-04,FREE,AU,Healthcare,organic
589,07/17/2024,PAID,IN,Healthcare,google
590,2024-08-31,FREE,JP,Education,organic
591,09/21/2024,free,JP,Healthcare,referral
592,2024-08-17,free,FR,Tech,google
593,2024-08-04,FREE,CA,Manufacturing,organic
594,2024-10-31,free,CA,Finance,google
595,2024-07-22,paid,DE,Tech,referral
596,2024-11-15,Free,IN,Retail,linkedin
597,2024-10-17,free,IN,Finance,linkedin
598,2024-02-21,Paid,JP,Retail,organic
599,2024-12-01,free,IN,Tech,facebook
600,2024-03-14,paid,CA,Education,referral
601,2024-06-18,Paid,CA,Manufacturing,organic
602,2024-01-11,Paid,DE,Healthcare,organic
603,2024-12-22,free,US,Retail,linkedin
604,2024-08-14,PAID,CA,Education,google
605,2024-04-06,PAID,JP,Finance,
606,09/21/2024,free,DE,Education,referral
607,2024-09-16,free,CA,Finance,google
608,04/12/2024,paid,DE,Education,referral
609,2024-12-26,PAID,DE,Healthcare,
610,2024-03-04,PAID,FR,Finance,facebook
611,2024-08-30,Free,DE,Finance,linkedin
